,UF,CARGO,COR,propor14,propor18,Variaçao 14-18
21,AL,DEPUTADO FEDERAL,PRETA,0.040983606557377046,0.08536585365853659,1.082926829268293
22,AL,DEPUTADO FEDERAL,PARDA,0.48360655737704916,0.2804878048780488,-0.4200082678792889
23,AL,DEPUTADO FEDERAL,AMARELA,0.00819672131147541,0.0,-1.0
24,AL,DEPUTADO FEDERAL,INDÍGENA,0.0,0.012195121951219513,inf
25,AL,SENADOR,BRANCA,0.75,0.5555555555555556,-0.25925925925925924
26,AL,SENADOR,PRETA,0.0,0.0,
27,AL,SENADOR,PARDA,0.25,0.4444444444444444,0.7777777777777777
28,AL,SENADOR,AMARELA,0.0,0.0,
29,AL,SENADOR,INDÍGENA,0.0,0.0,
30,AP,DEPUTADO ESTADUAL,BRANCA,0.34203655352480417,0.2515212981744422,-0.2646362045739591
31,AP,DEPUTADO ESTADUAL,PRETA,0.11488250652741515,0.13995943204868155,0.21828323806011438
32,AP,DEPUTADO ESTADUAL,PARDA,0.5300261096605744,0.6024340770791075,0.13661207645959686
33,AP,DEPUTADO ESTADUAL,AMARELA,0.005221932114882507,0.004056795131845842,-0.22312373225152132
34,AP,DEPUTADO ESTADUAL,INDÍGENA,0.007832898172323759,0.002028397565922921,-0.7410412440838404
35,AP,DEPUTADO FEDERAL,BRANCA,0.3217391304347826,0.226890756302521,-0.29479900068135356
36,AP,DEPUTADO FEDERAL,PRETA,0.10434782608695652,0.24369747899159663,1.335434173669468
37,AP,DEPUTADO FEDERAL,PARDA,0.5652173913043478,0.5126050420168067,-0.09308338720103428
